FY	Character_Title	Fund_Title	Department_Title	SubObjTitle	budget	Dept	Fund	Char	Sub.obj
2013	Materials and Supplies	Grants Revenue Fund	Health	Janitorial, Laundry and Household	106915.96	14	80	3	318
2013	Materials and Supplies	General Operating Fund	Human Services	Janitorial, Laundry and Household	27292.9	22	10	3	318
2013	Materials and Supplies	Grants Revenue Fund	Human Services	Janitorial, Laundry and Household	32201.49	22	80	3	318
2013	Materials and Supplies	General Operating Fund	Law	Janitorial, Laundry and Household	182.48	44	10	3	318
2013	Materials and Supplies	General Operating Fund	Licenses & Inspections	Janitorial, Laundry and Household	23003.67	26	10	3	318
2013	Materials and Supplies	General Operating Fund	Managing Director	Janitorial, Laundry and Household	66844.56	10	10	3	318
2013	Materials and Supplies	Grants Revenue Fund	Mayor's Office-Community Services	Janitorial, Laundry and Household	919.52	8	80	3	318
2013	Materials and Supplies	Grants Revenue Fund	Office of Behavioral Health & Intellectual Disability Services Services	Janitorial, Laundry and Household	902.4	15	80	3	318
2013	Materials and Supplies	General Operating Fund	Office of Supportive Housing	Janitorial, Laundry and Household	35556.63	24	10	3	318
2013	Materials and Supplies	General Operating Fund	Police	Janitorial, Laundry and Household	262897.59	11	10	3	318
2013	Materials and Supplies	Grants Revenue Fund	Police	Janitorial, Laundry and Household	449.4	11	80	3	318
2013	Materials and Supplies	General Operating Fund	Prisons	Janitorial, Laundry and Household	553643.5	23	10	3	318
2013	Materials and Supplies	General Operating Fund	Public Property	Janitorial, Laundry and Household	46828.78	20	10	3	318
2013	Materials and Supplies	General Operating Fund	Records	Janitorial, Laundry and Household	3.24	31	10	3	318
2013	Materials and Supplies	General Operating Fund	Recreation	Janitorial, Laundry and Household	180122.85	16	10	3	318
2013	Materials and Supplies	Grants Revenue Fund	Recreation	Janitorial, Laundry and Household	152417.7	16	80	3	318
2013	Materials and Supplies	General Operating Fund	Revenue	Janitorial, Laundry and Household	1021.93	36	10	3	318
2013	Materials and Supplies	Water Operating Fund	Revenue	Janitorial, Laundry and Household	758.03	36	20	3	318
2013	Materials and Supplies	General Operating Fund	Sheriff	Janitorial, Laundry and Household	178.46	70	10	3	318
2013	Materials and Supplies	General Operating Fund	Streets	Janitorial, Laundry and Household	204112.85	12	10	3	318
2013	Materials and Supplies	Grants Revenue Fund	Streets	Janitorial, Laundry and Household	15046.56	12	80	3	318
2013	Materials and Supplies	Water Operating Fund	Water	Janitorial, Laundry and Household	229150.38	28	20	3	318
2013	Purchase of Services	General Operating Fund	1st Judicial District	Juror Fees	1436644	84	10	2	275
2013	Purchase of Services	Undistributed Pension Funds	Board of Pensions	Lease Payments-phila Municipal Auth	738000	53	390	2	281
2013	Purchase of Services	General Operating Fund	Human Services	Lease Payments-phila Municipal Auth	6975113.1	22	10	2	281
2013	Purchase of Services	Grants Revenue Fund	Human Services	Lease Payments-phila Municipal Auth	634101.19	22	80	2	281
2013	Purchase of Services	General Operating Fund	Sinking Fund Commission	Lease Payments-phila Municipal Auth	28984284.3	37	10	2	281
2013	Purchase of Services	Water Operating Fund	Water	Lease Payments-phila Municipal Auth	23712423	28	20	2	281
2013	Purchase of Services	General Operating Fund	Fleet Management	Lease Purchase -- Vehicles	4483191.85	25	10	2	283
2013	Purchase of Services	Undistributed Pension Funds	Board of Pensions	Legal Services	48000	53	390	2	253
2013	Purchase of Services	Airport Operating Fund	Commerce	Legal Services	809703.3	42	90	2	253
2013	Purchase of Services	General Operating Fund	Director of Finance	Legal Services	20000	35	10	2	253
2013	Purchase of Services	General Operating Fund	Human Services	Legal Services	460845.63	22	10	2	253
2013	Purchase of Services	Grants Revenue Fund	Human Services	Legal Services	959106	22	80	2	253
2013	Purchase of Services	General Operating Fund	Law	Legal Services	3173403.32	44	10	2	253
2013	Purchase of Services	Airport Operating Fund	Law	Legal Services	399189.22	44	90	2	253
2013	Purchase of Services	General Operating Fund	Managing Director	Legal Services	49173388.23	10	10	2	253
2013	Purchase of Services	General Operating Fund	Mayor-Office of The Inspector General	Legal Services	697.9	48	10	2	253
2013	Purchase of Services	Community Development Fund	Office of Housing	Legal Services	5401	6	100	2	253
2013	Purchase of Services	Healthchoices Behavioral Health Fund	Office of Behavioral Health & Intellectual Disability Services Services	Legal Services	10000	15	60	2	253
2013	Purchase of Services	Grants Revenue Fund	Office of Behavioral Health & Intellectual Disability Services Services	Legal Services	59736.25	15	80	2	253
2013	Purchase of Services	General Operating Fund	Public Property	Legal Services	13	20	10	2	253
2013	Purchase of Services	Grants Revenue Fund	Revenue	Legal Services	10775325.85	36	80	2	253
2013	Purchase of Services	Water Operating Fund	Water	Legal Services	30000	28	20	2	253
2013	Materials and Supplies	General Operating Fund	Free Library	Library Materials	1508213.15	52	10	3	306
2013	Materials and Supplies	Grants Revenue Fund	Free Library	Library Materials	2453839.22	52	80	3	306
2013	Purchase of Services	General Operating Fund	City Controller	Licenses Permits Inspection Charges	3192	61	10	2	215
2013	Purchase of Services	Airport Operating Fund	Commerce	Licenses Permits Inspection Charges	21682.5	42	90	2	215
2013	Purchase of Services	General Operating Fund	Fleet Management	Licenses Permits Inspection Charges	63349.25	25	10	2	215
2013	Purchase of Services	Water Operating Fund	Fleet Management	Licenses Permits Inspection Charges	2631.66	25	20	2	215
2013	Purchase of Services	Airport Operating Fund	Fleet Management	Licenses Permits Inspection Charges	423	25	90	2	215
2013	Purchase of Services	General Operating Fund	Free Library	Licenses Permits Inspection Charges	647	52	10	2	215
2013	Purchase of Services	Grants Revenue Fund	Free Library	Licenses Permits Inspection Charges	2038	52	80	2	215
2013	Purchase of Services	General Operating Fund	Health	Licenses Permits Inspection Charges	18454	14	10	2	215
2013	Purchase of Services	Grants Revenue Fund	Health	Licenses Permits Inspection Charges	930	14	80	2	215
2013	Purchase of Services	General Operating Fund	Human Services	Licenses Permits Inspection Charges	364.1	22	10	2	215
2013	Purchase of Services	Grants Revenue Fund	Human Services	Licenses Permits Inspection Charges	28520.01	22	80	2	215
2013	Purchase of Services	General Operating Fund	Office of Supportive Housing	Licenses Permits Inspection Charges	110	24	10	2	215
2013	Purchase of Services	General Operating Fund	Police	Licenses Permits Inspection Charges	300	11	10	2	215
2013	Purchase of Services	General Operating Fund	Prisons	Licenses Permits Inspection Charges	6803	23	10	2	215
2013	Purchase of Services	General Operating Fund	Public Property	Licenses Permits Inspection Charges	3099.83	20	10	2	215
2013	Purchase of Services	General Operating Fund	Recreation	Licenses Permits Inspection Charges	1939.5	16	10	2	215
2013	Purchase of Services	General Operating Fund	Streets	Licenses Permits Inspection Charges	1110	12	10	2	215
2013	Purchase of Services	Water Operating Fund	Water	Licenses Permits Inspection Charges	133176.37	28	20	2	215
2013	Materials and Supplies	Airport Operating Fund	Commerce	Liquid Propane Gas (LPG)	1816.35	42	90	3	342
2013	Materials and Supplies	General Operating Fund	Fire	Liquid Propane Gas (LPG)	67.82	13	10	3	342
2013	Materials and Supplies	General Operating Fund	Health	Liquid Propane Gas (LPG)	868.68	14	10	3	342
2013	Materials and Supplies	General Operating Fund	Managing Director	Liquid Propane Gas (LPG)	965.2	10	10	3	342
2013	Materials and Supplies	General Operating Fund	Police	Liquid Propane Gas (LPG)	4697	11	10	3	342
2013	Materials and Supplies	General Operating Fund	Prisons	Liquid Propane Gas (LPG)	3934.8	23	10	3	342
2013	Materials and Supplies	General Operating Fund	Public Property	Liquid Propane Gas (LPG)	1616.4	20	10	3	342
2013	Materials and Supplies	General Operating Fund	Recreation	Liquid Propane Gas (LPG)	7366.95	16	10	3	342
2013	Materials and Supplies	General Operating Fund	Streets	Liquid Propane Gas (LPG)	85780.65	12	10	3	342
2013	Materials and Supplies	Water Operating Fund	Water	Liquid Propane Gas (LPG)	32979.52	28	20	3	342
2013	Materials and Supplies	Airport Operating Fund	Commerce	Lubricants	456	42	90	3	335
2013	Materials and Supplies	Grants Revenue Fund	Fire	Lubricants	82	13	80	3	335
2013	Materials and Supplies	General Operating Fund	Fleet Management	Lubricants	591578.29	25	10	3	335
2013	Materials and Supplies	Water Operating Fund	Fleet Management	Lubricants	108199.35	25	20	3	335
2013	Materials and Supplies	Airport Operating Fund	Fleet Management	Lubricants	22922.44	25	90	3	335
2013	Materials and Supplies	Grants Revenue Fund	Free Library	Lubricants	97.85	52	80	3	335
2013	Materials and Supplies	General Operating Fund	Health	Lubricants	489.25	14	10	3	335
2013	Materials and Supplies	Grants Revenue Fund	Health	Lubricants	20.5	14	80	3	335
2013	Materials and Supplies	General Operating Fund	Human Services	Lubricants	630.24	22	10	3	335
2013	Materials and Supplies	Grants Revenue Fund	Human Services	Lubricants	2305.26	22	80	3	335
2013	Materials and Supplies	General Operating Fund	Managing Director	Lubricants	537.6	10	10	3	335
2013	Materials and Supplies	General Operating Fund	Police	Lubricants	205.08	11	10	3	335
2013	Materials and Supplies	General Operating Fund	Prisons	Lubricants	228	23	10	3	335
2013	Materials and Supplies	General Operating Fund	Public Property	Lubricants	11.03	20	10	3	335
2013	Materials and Supplies	General Operating Fund	Recreation	Lubricants	4971.26	16	10	3	335
2013	Materials and Supplies	General Operating Fund	Revenue	Lubricants	489.25	36	10	3	335
2013	Materials and Supplies	General Operating Fund	Streets	Lubricants	35355.25	12	10	3	335
2013	Materials and Supplies	Water Operating Fund	Water	Lubricants	44402.1	28	20	3	335
2013	Purchase of Services	General Operating Fund	Board of Ethics	Maint/support-computr Hardware/soft	1172.93	45	10	2	266
2013	Purchase of Services	Undistributed Pension Funds	Board of Pensions	Maint/support-computr Hardware/soft	986.1	53	390	2	266
2013	Purchase of Services	Grants Revenue Fund	City Commissioners	Maint/support-computr Hardware/soft	81073.78	73	80	2	266
2013	Purchase of Services	General Operating Fund	City Controller	Maint/support-computr Hardware/soft	15358.07	61	10	2	266
2013	Purchase of Services	General Operating Fund	City Council	Maint/support-computr Hardware/soft	17509.81	1	10	2	266
2013	Purchase of Services	Airport Operating Fund	Commerce	Maint/support-computr Hardware/soft	482921.25	42	90	2	266
2013	Purchase of Services	General Operating Fund	Director of Finance	Maint/support-computr Hardware/soft	30023.31	35	10	2	266
2013	Purchase of Services	General Operating Fund	District Attorney	Maint/support-computr Hardware/soft	72753.85	69	10	2	266
2013	Purchase of Services	Grants Revenue Fund	District Attorney	Maint/support-computr Hardware/soft	31019.06	69	80	2	266
2013	Purchase of Services	General Operating Fund	Fleet Management	Maint/support-computr Hardware/soft	27501	25	10	2	266
2013	Purchase of Services	General Operating Fund	Free Library	Maint/support-computr Hardware/soft	121864.68	52	10	2	266
2013	Purchase of Services	Grants Revenue Fund	Free Library	Maint/support-computr Hardware/soft	247572.14	52	80	2	266
2013	Purchase of Services	General Operating Fund	Health	Maint/support-computr Hardware/soft	35198.22	14	10	2	266
2013	Purchase of Services	Grants Revenue Fund	Health	Maint/support-computr Hardware/soft	15389.29	14	80	2	266
2013	Purchase of Services	Acute Care Hospital Assessment Fund	Health	Maint/support-computr Hardware/soft	3321.45	14	140	2	266
2013	Purchase of Services	General Operating Fund	Human Services	Maint/support-computr Hardware/soft	53732.09	22	10	2	266
2013	Purchase of Services	Grants Revenue Fund	Human Services	Maint/support-computr Hardware/soft	227238.08	22	80	2	266
2013	Purchase of Services	General Operating Fund	Law	Maint/support-computr Hardware/soft	1584.07	44	10	2	266
2013	Purchase of Services	Water Operating Fund	Law	Maint/support-computr Hardware/soft	102.78	44	20	2	266
2013	Purchase of Services	General Operating Fund	Licenses & Inspections	Maint/support-computr Hardware/soft	5277.75	26	10	2	266
2013	Purchase of Services	General Operating Fund	Managing Director	Maint/support-computr Hardware/soft	52276.52	10	10	2	266
2013	Purchase of Services	General Operating Fund	Mayor-Office of The Inspector General	Maint/support-computr Hardware/soft	267	48	10	2	266
2013	Purchase of Services	General Operating Fund	MDO-Office of Technology	Maint/support-computr Hardware/soft	4419254.15	4	10	2	266
2013	Purchase of Services	Water Operating Fund	MDO-Office of Technology	Maint/support-computr Hardware/soft	424976.91	4	20	2	266
2013	Purchase of Services	Airport Operating Fund	MDO-Office of Technology	Maint/support-computr Hardware/soft	757317.88	4	90	2	266
2013	Purchase of Services	Community Development Fund	Office of Housing	Maint/support-computr Hardware/soft	48827.73	6	100	2	266
2013	Purchase of Services	General Operating Fund	Office of Supportive Housing	Maint/support-computr Hardware/soft	559	24	10	2	266
2013	Purchase of Services	General Operating Fund	Personnel	Maint/support-computr Hardware/soft	27606.68	56	10	2	266
2013	Purchase of Services	General Operating Fund	Police	Maint/support-computr Hardware/soft	346	11	10	2	266
2013	Purchase of Services	Grants Revenue Fund	Police	Maint/support-computr Hardware/soft	24683.94	11	80	2	266
2013	Purchase of Services	General Operating Fund	Prisons	Maint/support-computr Hardware/soft	37500	23	10	2	266
2013	Purchase of Services	General Operating Fund	Public Property	Maint/support-computr Hardware/soft	12480	20	10	2	266
2013	Purchase of Services	General Operating Fund	Records	Maint/support-computr Hardware/soft	191925.66	31	10	2	266
2013	Purchase of Services	General Operating Fund	Revenue	Maint/support-computr Hardware/soft	1597.56	36	10	2	266
2013	Purchase of Services	General Operating Fund	Streets	Maint/support-computr Hardware/soft	34516.72	12	10	2	266
2013	Purchase of Services	Water Operating Fund	Water	Maint/support-computr Hardware/soft	725817	28	20	2	266
2013	Materials and Supplies	Grants Revenue Fund	Fire	Materials & Supplies Control	584.09	13	80	3	300
2013	Materials and Supplies	General Operating Fund	Health	Materials & Supplies Control	12720	14	10	3	300
2013	Materials and Supplies	General Operating Fund	Managing Director	Materials & Supplies Control	1247.51	10	10	3	300
2013	Materials and Supplies	General Operating Fund	Public Property	Materials & Supplies Control	2660.23	20	10	3	300
2013	Materials and Supplies	General Operating Fund	Recreation	Materials & Supplies Control	59549.53	16	10	3	300
2013	Materials and Supplies	Water Operating Fund	Water	Materials & Supplies Control	913.75	28	20	3	300
2013	Purchase of Services	General Operating Fund	City Council	Meals-non-travel & officl Entertain	4889.22	1	10	2	230
2013	Purchase of Services	General Operating Fund	City Planning Commission	Meals-non-travel & officl Entertain	1375.33	51	10	2	230
2013	Purchase of Services	General Operating Fund	Commerce	Meals-non-travel & officl Entertain	29.92	42	10	2	230
2013	Purchase of Services	Airport Operating Fund	Commerce	Meals-non-travel & officl Entertain	79231.05	42	90	2	230
2013	Purchase of Services	General Operating Fund	Commission On Human Relations	Meals-non-travel & officl Entertain	155.36	54	10	2	230
2013	Purchase of Services	General Operating Fund	Director of Finance	Meals-non-travel & officl Entertain	21311.91	35	10	2	230
2013	Purchase of Services	General Operating Fund	District Attorney	Meals-non-travel & officl Entertain	169.78	69	10	2	230
2013	Purchase of Services	General Operating Fund	Fire	Meals-non-travel & officl Entertain	217.6	13	10	2	230
2013	Purchase of Services	General Operating Fund	Free Library	Meals-non-travel & officl Entertain	16567.75	52	10	2	230
2013	Purchase of Services	Grants Revenue Fund	Free Library	Meals-non-travel & officl Entertain	27512.5	52	80	2	230
2013	Purchase of Services	General Operating Fund	Health	Meals-non-travel & officl Entertain	18515.98	14	10	2	230
2013	Purchase of Services	Grants Revenue Fund	Health	Meals-non-travel & officl Entertain	2379.95	14	80	2	230
2013	Purchase of Services	Grants Revenue Fund	Human Services	Meals-non-travel & officl Entertain	40233.52	22	80	2	230
2013	Purchase of Services	General Operating Fund	Managing Director	Meals-non-travel & officl Entertain	11950.93	10	10	2	230
2013	Purchase of Services	Grants Revenue Fund	Managing Director	Meals-non-travel & officl Entertain	1089.25	10	80	2	230
2013	Purchase of Services	General Operating Fund	Mayor-Office of The Inspector General	Meals-non-travel & officl Entertain	717.17	48	10	2	230
2013	Purchase of Services	General Operating Fund	Mayor's Office	Meals-non-travel & officl Entertain	715.54	5	10	2	230
2013	Purchase of Services	Grants Revenue Fund	Mayor's Office	Meals-non-travel & officl Entertain	125.1	5	80	2	230
2013	Purchase of Services	Grants Revenue Fund	Mayor's Office-Community Services	Meals-non-travel & officl Entertain	14202.16	8	80	2	230
2013	Purchase of Services	Grants Revenue Fund	MDO-Office of Technology	Meals-non-travel & officl Entertain	260	4	80	2	230
2013	Purchase of Services	General Operating Fund	Office of Arts & Culture	Meals-non-travel & officl Entertain	1500	58	10	2	230
2013	Purchase of Services	Grants Revenue Fund	Office of Housing	Meals-non-travel & officl Entertain	21.36	6	80	2	230
2013	Purchase of Services	Community Development Fund	Office of Housing	Meals-non-travel & officl Entertain	645.81	6	100	2	230
2013	Purchase of Services	General Operating Fund	Office of Supportive Housing	Meals-non-travel & officl Entertain	44.82	24	10	2	230
2013	Purchase of Services	General Operating Fund	Personnel	Meals-non-travel & officl Entertain	3917.85	56	10	2	230
2013	Purchase of Services	General Operating Fund	Prisons	Meals-non-travel & officl Entertain	11809.75	23	10	2	230
2013	Purchase of Services	General Operating Fund	Recreation	Meals-non-travel & officl Entertain	5146.24	16	10	2	230
2013	Purchase of Services	General Operating Fund	Revenue	Meals-non-travel & officl Entertain	361	36	10	2	230
2013	Purchase of Services	General Operating Fund	Sheriff	Meals-non-travel & officl Entertain	27335	70	10	2	230
2013	Purchase of Services	General Operating Fund	Streets	Meals-non-travel & officl Entertain	14850.16	12	10	2	230
2013	Purchase of Services	Water Operating Fund	Water	Meals-non-travel & officl Entertain	6986.88	28	20	2	230
2013	Purchase of Services	General Operating Fund	Youth Commission	Meals-non-travel & officl Entertain	1705	47	10	2	230
2013	Personal Services	Grants Revenue Fund	1st Judicial District	Medical Health & Welfare Credit	4539676.06	84	80	1	193
2013	Personal Services	Undistributed Pension Funds	Board of Pensions	Medical Health & Welfare Credit	782271.77	53	390	1	193
2013	Personal Services	Grants Revenue Fund	City Planning Commission	Medical Health & Welfare Credit	13172.76	51	80	1	193
2013	Personal Services	General Operating Fund	Director of Finance	Medical Health & Welfare Credit	354818454.2	35	10	1	193
2013	Personal Services	Water Operating Fund	Director of Finance	Medical Health & Welfare Credit	28402301.19	35	20	1	193
2013	Personal Services	Special Gasoline Tax Fund	Director of Finance	Medical Health & Welfare Credit	500000	35	50	1	193
2013	Personal Services	Airport Operating Fund	Director of Finance	Medical Health & Welfare Credit	14704096.37	35	90	1	193
2013	Personal Services	Community Development Fund	Director of Finance	Medical Health & Welfare Credit	694799.66	35	100	1	193
2013	Personal Services	Acute Care Hospital Assessment Fund	Director of Finance	Medical Health & Welfare Credit	62031.39	35	140	1	193
2013	Personal Services	Grants Revenue Fund	District Attorney	Medical Health & Welfare Credit	284127.4	69	80	1	193
2013	Personal Services	Grants Revenue Fund	Fire	Medical Health & Welfare Credit	41726.31	13	80	1	193
2013	Personal Services	Grants Revenue Fund	Free Library	Medical Health & Welfare Credit	43504.63	52	80	1	193
2013	Personal Services	Grants Revenue Fund	Health	Medical Health & Welfare Credit	1465765.91	14	80	1	193
2013	Personal Services	Grants Revenue Fund	Human Services	Medical Health & Welfare Credit	11938093.12	22	80	1	193
2013	Personal Services	Grants Revenue Fund	Licenses & Inspections	Medical Health & Welfare Credit	4247.57	26	80	1	193
2013	Personal Services	Grants Revenue Fund	Managing Director	Medical Health & Welfare Credit	1628.22	10	80	1	193
2013	Personal Services	Grants Revenue Fund	Mayor's Office-Community Services	Medical Health & Welfare Credit	303039.48	8	80	1	193
2013	Personal Services	Grants Revenue Fund	MDO-Office of Technology	Medical Health & Welfare Credit	25020.36	4	80	1	193
2013	Personal Services	Grants Revenue Fund	Office of Housing	Medical Health & Welfare Credit	43947.25	6	80	1	193
2013	Personal Services	Grants Revenue Fund	Office of Behavioral Health & Intellectual Disability Services Services	Medical Health & Welfare Credit	1841048.88	15	80	1	193
2013	Personal Services	Grants Revenue Fund	Police	Medical Health & Welfare Credit	295505.36	11	80	1	193
2013	Personal Services	Grants Revenue Fund	Recreation	Medical Health & Welfare Credit	80272.86	16	80	1	193
2013	Personal Services	Grants Revenue Fund	Streets	Medical Health & Welfare Credit	22229.15	12	80	1	193
2013	Personal Services	Grants Revenue Fund	1st Judicial District	Medicare Tax	228639.71	84	80	1	189
2013	Personal Services	Undistributed Pension Funds	Board of Pensions	Medicare Tax	48289.46	53	390	1	189
2013	Personal Services	Grants Revenue Fund	City Planning Commission	Medicare Tax	928.75	51	80	1	189
2013	Personal Services	General Operating Fund	Director of Finance	Medicare Tax	18882077.84	35	10	1	189
2013	Personal Services	Water Operating Fund	Director of Finance	Medicare Tax	1448298.34	35	20	1	189
2013	Personal Services	Airport Operating Fund	Director of Finance	Medicare Tax	802936.16	35	90	1	189
2013	Personal Services	Community Development Fund	Director of Finance	Medicare Tax	61413.18	35	100	1	189
2013	Personal Services	Acute Care Hospital Assessment Fund	Director of Finance	Medicare Tax	17813.95	35	140	1	189
2013	Personal Services	Grants Revenue Fund	District Attorney	Medicare Tax	24525.93	69	80	1	189
2013	Personal Services	Grants Revenue Fund	Fire	Medicare Tax	2223.64	13	80	1	189
2013	Personal Services	Grants Revenue Fund	Free Library	Medicare Tax	1750.42	52	80	1	189
2013	Personal Services	Grants Revenue Fund	Health	Medicare Tax	128244.91	14	80	1	189
2013	Personal Services	Grants Revenue Fund	Human Services	Medicare Tax	722927.79	22	80	1	189
2013	Personal Services	Grants Revenue Fund	Licenses & Inspections	Medicare Tax	245.09	26	80	1	189
2013	Personal Services	Grants Revenue Fund	Managing Director	Medicare Tax	209.4	10	80	1	189
2013	Personal Services	Grants Revenue Fund	Mayor's Office-Community Services	Medicare Tax	15762.23	8	80	1	189
2013	Personal Services	Grants Revenue Fund	MDO-Office of Technology	Medicare Tax	6261.19	4	80	1	189
2013	Personal Services	Grants Revenue Fund	Office of Housing	Medicare Tax	3749.03	6	80	1	189
2013	Personal Services	Grants Revenue Fund	Office of Behavioral Health & Intellectual Disability Services Services	Medicare Tax	138452.06	15	80	1	189
2013	Personal Services	Grants Revenue Fund	Police	Medicare Tax	17896.42	11	80	1	189
2013	Personal Services	Grants Revenue Fund	Recreation	Medicare Tax	27754.84	16	80	1	189
2013	Personal Services	Grants Revenue Fund	Streets	Medicare Tax	2286.01	12	80	1	189
2013	Purchase of Services	Airport Operating Fund	Commerce	Mental Health & Retardation Service	215000	42	90	2	254
2013	Purchase of Services	General Operating Fund	Human Services	Mental Health & Retardation Service	748088	22	10	2	254
2013	Purchase of Services	Grants Revenue Fund	Human Services	Mental Health & Retardation Service	969286	22	80	2	254
2013	Purchase of Services	General Operating Fund	Office of Behavioral Health & Intellectual Disability Services Services	Mental Health & Retardation Service	12041652	15	10	2	254
2013	Purchase of Services	Healthchoices Behavioral Health Fund	Office of Behavioral Health & Intellectual Disability Services Services	Mental Health & Retardation Service	802845254.3	15	60	2	254
2013	Purchase of Services	Grants Revenue Fund	Office of Behavioral Health & Intellectual Disability Services Services	Mental Health & Retardation Service	158207555.2	15	80	2	254
2013	Purchase of Services	General Operating Fund	Office of Supportive Housing	Mental Health & Retardation Service	16000	24	10	2	254
2013	Contributions, Indemnities, Refunds, Taxes	General Operating Fund	Director of Finance	Meritorious Awards	21000	35	10	5	504
2013	Contributions, Indemnities, Refunds, Taxes	Grants Revenue Fund	Director of Finance	Meritorious Awards	467090.68	35	80	5	504
2013	Contributions, Indemnities, Refunds, Taxes	General Operating Fund	Mayor's Office	Meritorious Awards	200000	5	10	5	504
2013	Contributions, Indemnities, Refunds, Taxes	General Operating Fund	Records	Meritorious Awards	1272	31	10	5	504
2013	Contributions, Indemnities, Refunds, Taxes	Water Operating Fund	Revenue	Meritorious Awards	170	36	20	5	504
2013	Materials and Supplies	General Operating Fund	Fleet Management	Motor Vehicle Parts and Accessories	8278191.2	25	10	3	328
2013	Materials and Supplies	Water Operating Fund	Fleet Management	Motor Vehicle Parts and Accessories	1418953.13	25	20	3	328
2013	Materials and Supplies	Airport Operating Fund	Fleet Management	Motor Vehicle Parts and Accessories	618286.23	25	90	3	328
2013	Materials and Supplies	Grants Revenue Fund	Health	Motor Vehicle Parts and Accessories	8595.36	14	80	3	328
2013	Materials and Supplies	General Operating Fund	Managing Director	Motor Vehicle Parts and Accessories	2534.01	10	10	3	328
2013	Materials and Supplies	General Operating Fund	Office of Supportive Housing	Motor Vehicle Parts and Accessories	370	24	10	3	328
2013	Materials and Supplies	General Operating Fund	Police	Motor Vehicle Parts and Accessories	26256.22	11	10	3	328
2013	Materials and Supplies	General Operating Fund	Recreation	Motor Vehicle Parts and Accessories	1043	16	10	3	328
2013	Materials and Supplies	General Operating Fund	Streets	Motor Vehicle Parts and Accessories	26812.41	12	10	3	328
2013	Materials and Supplies	Water Operating Fund	Water	Motor Vehicle Parts and Accessories	38387.52	28	20	3	328
2013	Materials and Supplies	General Operating Fund	Fire	Nautical and Aeronautical	1022.37	13	10	3	319
2013	Equipment	Grants Revenue Fund	Fire	Nautical and Aeronautical	32795	13	80	4	419
2013	Materials and Supplies	General Operating Fund	Police	Nautical and Aeronautical	143356.93	11	10	3	319
2013	Equipment	Grants Revenue Fund	Police	Nautical and Aeronautical	12392	11	80	4	419
2013	Materials and Supplies	Water Operating Fund	Water	Nautical and Aeronautical	1415.08	28	20	3	319
2013	Equipment	Water Operating Fund	Water	Nautical and Aeronautical	6934	28	20	4	419
2013	Equipment	Undistributed Pension Funds	Board of Pensions	Office Equipment	59.4	53	390	4	420
2013	Equipment	General Operating Fund	Board of Revision of Taxes	Office Equipment	3439	63	10	4	420
2013	Equipment	General Operating Fund	City Commissioners	Office Equipment	8559.46	73	10	4	420
2013	Equipment	Grants Revenue Fund	City Commissioners	Office Equipment	32428.21	73	80	4	420
2013	Equipment	General Operating Fund	City Council	Office Equipment	13073.74	1	10	4	420
2013	Equipment	General Operating Fund	City Representative	Office Equipment	468	41	10	4	420
2013	Equipment	Airport Operating Fund	Commerce	Office Equipment	7302.57	42	90	4	420
2013	Equipment	General Operating Fund	Commission On Human Relations	Office Equipment	335.01	54	10	4	420
2013	Equipment	General Operating Fund	Director of Finance	Office Equipment	33387.63	35	10	4	420
2013	Equipment	General Operating Fund	District Attorney	Office Equipment	8225.99	69	10	4	420
2013	Equipment	Grants Revenue Fund	District Attorney	Office Equipment	19221	69	80	4	420
2013	Equipment	General Operating Fund	Fire	Office Equipment	36910	13	10	4	420
2013	Equipment	Grants Revenue Fund	Fire	Office Equipment	3526.89	13	80	4	420
2013	Equipment	General Operating Fund	Fleet Management	Office Equipment	5424.08	25	10	4	420
2013	Equipment	Water Operating Fund	Fleet Management	Office Equipment	1350.72	25	20	4	420
2013	Equipment	General Operating Fund	Free Library	Office Equipment	5160.15	52	10	4	420
2013	Equipment	Grants Revenue Fund	Free Library	Office Equipment	5530.65	52	80	4	420
2013	Equipment	General Operating Fund	Health	Office Equipment	32154.14	14	10	4	420
2013	Equipment	Grants Revenue Fund	Health	Office Equipment	46267.8	14	80	4	420
2013	Equipment	General Operating Fund	Human Services	Office Equipment	2070.78	22	10	4	420
2013	Equipment	Grants Revenue Fund	Human Services	Office Equipment	7574.22	22	80	4	420
2013	Equipment	General Operating Fund	Law	Office Equipment	3893.95	44	10	4	420
2013	Equipment	General Operating Fund	Licenses & Inspections	Office Equipment	2121.4	26	10	4	420
2013	Equipment	General Operating Fund	Managing Director	Office Equipment	9846	10	10	4	420
2013	Equipment	General Operating Fund	Mayor-Office of The Inspector General	Office Equipment	436.85	48	10	4	420
2013	Equipment	General Operating Fund	Mayor's Office	Office Equipment	1646.89	5	10	4	420
2013	Equipment	Grants Revenue Fund	Mayor's Office	Office Equipment	9824.09	5	80	4	420
2013	Equipment	General Operating Fund	MDO-Office of Technology	Office Equipment	2363.65	4	10	4	420
2013	Equipment	Water Operating Fund	MDO-Office of Technology	Office Equipment	23379	4	20	4	420
2013	Equipment	Community Development Fund	Office of Housing	Office Equipment	1973.96	6	100	4	420
2013	Equipment	Grants Revenue Fund	Office of Behavioral Health & Intellectual Disability Services Services	Office Equipment	41403	15	80	4	420
2013	Equipment	General Operating Fund	Office of Supportive Housing	Office Equipment	4679	24	10	4	420
